Question,Predicted Answer,Actual Answer
Is the vase on the cloth?,Yes,Yes
Is one piece of bread touching the bowl?,Yes,Yes
What is the color of the flowers in the vase?,Pink,Yellow
What is the color of the flowers on the bread?,Pink,Yellow
What is the color of the liquid in the bowl?,Brown,Brown
Is the color of the flowers on the bread yellow?,Yes,Yes
Are there pink flowers in the vase?,No,No
Is the liquid in the bowl brown?,Yes,Yes
Are there any fire hydrant in image?,No,No
How many umbrella in image?,0,0
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
What is the name of the object in the image?,person,bowl
How many oven in image?,0,0
Where are the tomatoes?,Right,Above
Where is the yellow tomato?,Right,Left
Is the green tomato on the left?,No,No
Are the tomatoes on the vine?,Yes,Yes
Are the tomatoes in a bowl?,Yes,Yes
What color is the tomato on the left?,Red,Yellow
What color are the majority of the tomatoes?,Red,Red
What color is the stem?,Green,Green
Is the majority of tomatoes in red?,Yes,Yes
Does the stem have pink color?,No,No
Is one of the tomatoes yellow?,Yes,Yes
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
What is the name of the object in the image?,person,bowl
Are there any tv in image?,No,No
Are there any mouse in image?,No,No
Are there any microwave in image?,No,No
How many book in image?,1,0
Where is the red bowl relative to the wooden bowl?,Left,Behind
Where is the water relative to the orange?,Above,Above
Is the water falling into the wooden bowl?,Yes,Yes
What color is the bowl behind the wooden bowl?,Blue,Red
What color are some of the limes in the wooden bowl?,Green,Green
What is the color of the oranges in the wooden bowl?,Orange,Orange
Is the bowl front the wooden bowl red?,No,No
Are some of the fruits in the wooden bowl green?,Yes,Yes
Are the fruits in the wooden bowl orange?,Yes,Yes
How many motorcycle in image?,1,0
Are there any parking meter in image?,No,No
Are there any dog in image?,Yes,No
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
What is the name of the object in the image?,person,bowl
Are there any carrot in image?,No,No
Are there any laptop in image?,No,No
Are there any toothbrush in image?,No,No
Are the kiwano melons in the bowl?,Yes,Yes
What color is the outer part of the fruit?,Red,Orange
What color is the cloth?,White,White
Is the rim of the bowl golden?,Yes,Yes
Is the background cloth white?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any surfboard in image?,No,No
Where are the hands?,Above,Above
Is the bowl on the table?,Yes,Yes
What color is the apron?,Black,Brown
What color is the table?,Brown,Blue
Is the clay bowl off-white?,Yes,Yes
Is the fabric on the table blue?,Yes,Yes
Is the shirt beige?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
Are there any bird in image?,Yes,No
Are there any cat in image?,Yes,No
How many spoon in image?,1,1
Are there any spoon in image?,Yes,Yes
How many bowl in image?,1,8
Are there any bowl in image?,Yes,Yes
Are there any chair in image?,Yes,No
Is the bowl with flour in the center?,Yes,Yes
Is there a bowl with egg on the right?,Yes,Yes
What color is the ingredient in the bowl on the lower right?,Yellow,Green
What color is the shirt that the person is wearing?,White,Blue
Is the bowl the person is holding gray?,Yes,Yes
Is the cutting board brown?,Yes,Yes
Are there any bus in image?,No,No
Are there any parking meter in image?,No,No
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
What is the name of the object in the image?,person,bowl
Are there any oven in image?,No,No
Where are the two glasses in relation to the bowl?,Above,Left
Is the bowl on the right side of the image?,No,No
Are the flowers in the center of the image?,Yes,Yes
What is the color of the roses' petals?,Pink,Red
What is the color of the fabric in the image?,Red,Blue
What is the color of the bowl?,White,White
Is the color of the roses petals red?,Yes,Yes
Is the background color blue?,Yes,Yes
Is the bowl white?,Yes,Yes
How many cat in image?,1,0
Are there any cat in image?,Yes,No
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
How many orange in image?,0,2
Are there any orange in image?,No,Yes
Are there any pizza in image?,No,No
Are there any keyboard in image?,No,No
Are the leaves inside the bowl?,Yes,Yes
Are the oranges inside the bowl?,Yes,Yes
What is the color of the bowl?,White,White
What color are the leaves?,Green,Green
What color are the fruits?,Orange,Orange
Is the bowl white?,Yes,Yes
Are the leaves green?,Yes,Yes
Are the tangerines orange?,Yes,Yes
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
Are there any orange in image?,No,No
How many chair in image?,1,5
Are there any chair in image?,Yes,Yes
Is the ice bucket on the table?,Yes,Yes
What color are the leaves on the tree on the left?,Green,Green
What color are the chairs?,Brown,Brown
Is the sky blue?,Yes,No
Are the leaves green?,Yes,Yes
Are the chairs brown?,Yes,Yes
Are there any skateboard in image?,No,No
How many spoon in image?,1,1
Are there any spoon in image?,Yes,Yes
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
What is the location of the gray towel?,Left,Above
Is the spoon with seeds below the spoon with chickpeas?,No,No
Is the plate with the chickpeas and parsley located on a wooden surface?,Yes,Yes
What is the color of the table?,Brown,Brown
Is the towel gray?,Yes,Yes
Are there chickpeas in a spoon?,Yes,Yes
Is the hummus in a dish?,Yes,Yes
Are there any truck in image?,Yes,No
Are there any cat in image?,Yes,No
How many suitcase in image?,0,0
How many spoon in image?,1,1
Are there any spoon in image?,Yes,Yes
What is the name of the object in the image?,person,spoon
Where is the mixer relative to the sesame seeds?,Above,Left
Where is the square bowl relative to the gray cloth?,Above,Above
Where are the dry chickpeas relative to the bowl?,Above,Above
Is the bowl of hummus on the cloth?,Yes,Yes
Are the chickpeas next to the dish?,Yes,Yes
What is the color of the surface?,White,Black
Is the surface color black?,Yes,Yes
Is the color of the cloth gray?,Yes,Yes
Is the color of the hummus white?,Yes,Yes
How many person in image?,1,2
Are there any person in image?,Yes,Yes
How many fork in image?,1,0
How many bowl in image?,1,3
Are there any bowl in image?,Yes,Yes
Are there any couch in image?,No,No
Where is the woman looking?,Left,Right
Where is the pan?,Left,Above
Is the pan on the stove?,Yes,Yes
What color is the shirt of the person on the right?,White,Blue
Is the bowl yellow?,Yes,Yes
How many bus in image?,1,0
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
What is the name of the object in the image?,person,bowl
Are there any keyboard in image?,No,No
Are there any sink in image?,No,No
Where is the small container?,Left,Left
Is the sauce container to the right of the pita bread?,No,No
Are the two tomatoes next to each other?,Yes,Yes
Is the egg below the tomatoes?,No,No
What color are the tomatoes?,Red,Red
What color is the egg?,White,Brown
What color is the sauce container?,Brown,Black
Is the container black?,Yes,Yes
Are the tomatoes red?,Yes,Yes
Is the egg white?,Yes,No
Are there any car in image?,Yes,No
Are there any motorcycle in image?,Yes,No
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
What is the name of the object in the image?,person,bowl
Are there any orange in image?,No,No
Are there any mouse in image?,No,No
Are there any book in image?,Yes,No
Where is rolling pin placed?,Left,Above
Where are the tomatoes?,Right,Right
Is the rolling pin on top of the pasta maker?,Yes,Yes
Is the bowl of tomatoes closer to the window than the rolling pin?,Yes,Yes
Is the jar of spaghetti to the right of the water pitcher?,No,No
What is the color of the handle on the pasta maker?,Red,Orange
Is the handle of the pasta maker orange?,Yes,Yes
Is the color of the rolling pin wood?,Yes,Yes
Is the window frame color black?,Yes,Yes
Are there any person in image?,Yes,No
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
What is the name of the object in the image?,person,bowl
How many potted plant in image?,1,0
Where is the shadow located relative to the bowl?,Left,Left
Is the bowl on a wooden surface?,Yes,Yes
Is the bowl near its shadow?,Yes,Yes
What color are the raisins in the bowl?,Brown,Red
What is the color of the bowl?,White,White
What is the color of the shadow?,Black,Black
Is the bowl white?,Yes,Yes
Is there a green shadow?,No,No
Are some of the raisins orange?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
Are there any fire hydrant in image?,No,No
How many dog in image?,1,1
Are there any dog in image?,Yes,Yes
Are there any frisbee in image?,No,No
Are there any sports ball in image?,No,No
Are there any potted plant in image?,Yes,No
How many oven in image?,0,0
Are there any scissors in image?,Yes,No
Where is the bowl?,Right,Below
Where is the hand relative to the dog?,Above,Above
Is the dog bowl on the floor?,Yes,Yes
Is the leash attached to the dog's collar?,Yes,Yes
What is the color of the dog's ears?,Brown,Black
What is the color of the dog's bowl?,White,White
Is the dog's ear black?,Yes,Yes
Is the dog's bowl white?,Yes,Yes
Is the wall beige?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
Are there any boat in image?,No,No
How many horse in image?,1,0
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
Are there any chair in image?,Yes,No
Where is the strainer positioned?,Left,Left
Where is the woman's hand holding the bowl?,Above,Right
Is the whisk below the bowl?,No,No
Is the bowl on the table?,Yes,Yes
Is the woman holding the whisk?,Yes,Yes
What color is the chocolate?,Brown,Brown
What color is the woman's shirt?,White,White
What color is the shirt's collar?,Red,Pink
Is the chocolate brown?,Yes,Yes
Is the shirt collar pink?,Yes,Yes
Is the woman's shirt white?,Yes,Yes
How many sports ball in image?,0,2
Are there any sports ball in image?,No,Yes
How many clock in image?,1,0
Where is brown branch?,Left,Right
Are the orange eggs inside the carton?,No,No
Is one of the eggs golden?,Yes,Yes
What color are the eggs in the carton?,Brown,Blue
What color is the background?,Green,White
Is the background white?,Yes,Yes
Are the eggs in the carton blue?,Yes,Yes
Is there an egg with gold on it?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many motorcycle in image?,1,0
Are there any traffic light in image?,No,No
How many sheep in image?,0,0
Are there any fork in image?,Yes,No
How many spoon in image?,1,1
Are there any spoon in image?,Yes,Yes
Are there any remote in image?,No,No
Are there any cell phone in image?,No,No
Where is the smaller bowl?,Left,Left
Where is the spoon?,Right,Right
Is the smaller bowl to the right of the mortar?,No,No
Is there a wooden spoon in the bigger bowl?,Yes,Yes
What color is the marble surface?,Black,Black
What color is the mortar?,White,Brown
Is the marble surface black?,Yes,Yes
Is the mortar brown?,Yes,Yes
Are the hands tan?,Yes,Yes
Are there any train in image?,No,No
How many truck in image?,1,0
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
What is the name of the object in the image?,person,bowl
Are there any apple in image?,No,No
Where are the tomatoes?,Right,Below
Where is the ball?,Above,Behind
Are the tomatoes on the wooden board?,Yes,Yes
What color are the chili peppers?,Red,Red
What is the color of the bowl?,White,White
Is the color of the chili peppers red?,Yes,Yes
Is the color of the bowl white?,Yes,Yes
Are the colors of the tomatoes red?,Yes,Yes
Are there any tie in image?,No,No
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
What is the name of the object in the image?,person,bowl
How many pizza in image?,0,0
Are there any teddy bear in image?,Yes,No
Is the fortune cookie on the table?,Yes,Yes
Is the bowl front the fortune cookie?,No,No
What is the color of the wood?,Brown,Brown
What color is the red box?,Red,Red
What color is the table?,Brown,Brown
Is the candle orange?,Yes,Yes
Are there any tie in image?,No,No
How many potted plant in image?,1,1
Are there any potted plant in image?,Yes,Yes
How many vase in image?,1,1
Are there any vase in image?,Yes,Yes
Where is the vase relative to the round cutting board?,Left,Left
What is the location of the round cutting board relative to the wall?,Front,Front
What is the placement of the leaves?,Above,Behind
Is the round cutting board in behind of the rectangular cutting board?,No,No
Is the vase on the right of the dark cutting board?,No,No
